ID_Empleado,Nombre,Region,Fecha,Hora_Entrada,Hora_Salida,Horas_Extras,Ausentismo
100,Empleado_100,Norte,2024-12-25,2024-01-19 07:10:00,2024-01-19 14:42:00,0,False
84,Empleado_84,Sur,2024-08-01,2024-01-09 09:39:00,2024-01-09 16:42:00,0,True
3,Empleado_3,Sur,2024-02-02,2024-08-07 08:59:00,2024-08-07 18:08:00,0,False
31,Empleado_31,Sur,2024-09-06,2024-09-10 07:49:00,2024-09-10 14:57:00,0,True
35,Empleado_35,Centro,2024-06-08,2024-02-25 08:20:00,2024-02-25 18:22:00,0,True
29,Empleado_29,Sur,2024-05-11,2024-04-03 07:56:00,2024-04-03 17:29:00,0,False
68,Empleado_68,Este,2024-11-16,2024-04-26 07:02:00,2024-04-26 15:55:00,0,False
23,Empleado_23,Este,2024-01-02,2024-12-06 09:59:00,2024-12-06 17:28:00,0,True
87,Empleado_87,Centro,2024-06-04,2024-10-19 09:50:00,2024-10-19 18:41:00,0,True
91,Empleado_91,Este,2024-05-06,2024-07-02 08:08:00,2024-07-02 18:59:00,0,True
94,Empleado_94,Este,2024-07-07,2024-03-05 07:28:00,2024-03-05 15:42:00,0,False
64,Empleado_64,Norte,2024-12-01,2024-03-15 07:34:00,2024-03-15 16:00:00,0,False
29,Empleado_29,Este,2024-08-11,2024-06-17 08:14:00,2024-06-17 15:33:00,0,False
53,Empleado_53,Oeste,2024-11-14,2024-10-05 09:20:00,2024-10-05 17:07:00,0,False
10,Empleado_10,Norte,2024-11-12,2024-05-03 07:13:00,2024-05-03 15:54:00,0,True
60,Empleado_60,Oeste,2024-07-21,2024-04-19 09:56:00,2024-04-19 18:15:00,0,False
15,Empleado_15,Centro,2024-01-20,2024-05-20 08:37:00,2024-05-20 19:20:00,1,True
99,Empleado_99,Este,2024-08-12,2024-10-21 09:20:00,2024-10-21 19:14:00,0,True
73,Empleado_73,Norte,2024-01-08,2024-01-11 08:52:00,2024-01-11 18:25:00,0,False
94,Empleado_94,Este,2024-02-01,2024-05-02 08:12:00,2024-05-02 18:01:00,0,True
93,Empleado_93,Sur,2024-08-16,2024-02-27 07:29:00,2024-02-27 17:55:00,0,True
78,Empleado_78,Centro,2024-04-11,2024-09-07 07:55:00,2024-09-07 18:42:00,0,True
16,Empleado_16,Sur,2024-01-08,2024-08-16 09:00:00,2024-08-16 17:47:00,0,True
67,Empleado_67,Sur,2024-05-07,2024-10-08 08:39:00,2024-10-08 18:41:00,0,False
76,Empleado_76,Norte,2024-07-06,2024-12-04 08:22:00,2024-12-04 17:45:00,0,True
69,Empleado_69,Sur,2024-06-10,2024-08-01 09:15:00,2024-08-01 19:44:00,0,False
42,Empleado_42,Centro,2024-08-07,2024-10-12 08:04:00,2024-10-12 15:15:00,0,True
14,Empleado_14,Norte,2024-11-26,2024-07-15 08:20:00,2024-07-15 18:25:00,0,False
93,Empleado_93,Norte,2024-07-16,2024-08-15 08:51:00,2024-08-15 19:27:00,2,True
53,Empleado_53,Norte,2024-03-28,2024-05-01 07:39:00,2024-05-01 18:14:00,0,False
76,Empleado_76,Oeste,2024-03-07,2024-12-16 09:28:00,2024-12-16 19:07:00,1,False
17,Empleado_17,Oeste,2024-05-06,2024-04-27 09:57:00,2024-04-27 18:37:00,0,False
73,Empleado_73,Norte,2024-03-12,2024-08-11 08:15:00,2024-08-11 15:48:00,0,True
68,Empleado_68,Centro,2024-11-17,2024-12-28 07:15:00,2024-12-28 16:59:00,0,True
81,Empleado_81,Este,2024-08-22,2024-06-23 09:56:00,2024-06-23 17:38:00,0,True
37,Empleado_37,Oeste,2024-02-03,2024-05-11 07:55:00,2024-05-11 16:28:00,0,True
68,Empleado_68,Este,2024-05-11,2024-11-02 09:19:00,2024-11-02 18:06:00,0,True
51,Empleado_51,Oeste,2024-12-04,2024-12-23 08:26:00,2024-12-23 15:46:00,0,True
67,Empleado_67,Centro,2024-04-20,2024-01-20 07:11:00,2024-01-20 14:52:00,0,True
3,Empleado_3,Este,2024-04-27,2024-05-10 07:16:00,2024-05-10 15:45:00,0,True
77,Empleado_77,Este,2024-10-06,2024-05-08 08:18:00,2024-05-08 17:47:00,0,True
90,Empleado_90,Sur,2024-11-11,2024-02-27 09:09:00,2024-02-27 18:27:00,0,True
24,Empleado_24,Sur,2024-01-13,2024-08-05 09:09:00,2024-08-05 19:07:00,2,True
88,Empleado_88,Sur,2024-10-10,2024-10-26 09:22:00,2024-10-26 19:42:00,2,False
30,Empleado_30,Sur,2024-10-21,2024-07-28 07:39:00,2024-07-28 17:52:00,0,True
65,Empleado_65,Centro,2024-09-15,2024-01-09 07:06:00,2024-01-09 14:23:00,0,False
88,Empleado_88,Sur,2024-10-18,2024-06-18 09:44:00,2024-06-18 20:22:00,0,False
30,Empleado_30,Oeste,2024-01-15,2024-11-09 07:59:00,2024-11-09 18:20:00,0,True
65,Empleado_65,Centro,2024-07-20,2024-10-27 07:59:00,2024-10-27 15:06:00,0,True
48,Empleado_48,Centro,2024-02-08,2024-12-13 08:42:00,2024-12-13 16:09:00,0,True
7,Empleado_7,Este,2024-01-17,2024-09-26 08:05:00,2024-09-26 17:49:00,0,False
1,Empleado_1,Norte,2024-03-19,2024-04-27 07:44:00,2024-04-27 18:29:00,0,False
41,Empleado_41,Sur,2024-08-11,2024-07-27 07:51:00,2024-07-27 17:35:00,0,False
30,Empleado_30,Oeste,2024-11-21,2024-09-19 07:06:00,2024-09-19 16:54:00,0,True
11,Empleado_11,Centro,2024-06-03,2024-07-18 07:37:00,2024-07-18 16:39:00,0,True
7,Empleado_7,Oeste,2024-06-10,2024-10-02 07:35:00,2024-10-02 17:34:00,0,False
96,Empleado_96,Norte,2024-11-22,2024-07-02 08:59:00,2024-07-02 19:51:00,0,False
35,Empleado_35,Centro,2024-09-25,2024-01-15 09:01:00,2024-01-15 19:47:00,1,False
69,Empleado_69,Sur,2024-04-01,2024-05-12 07:33:00,2024-05-12 15:35:00,0,True
29,Empleado_29,Oeste,2024-06-23,2024-06-14 08:01:00,2024-06-14 17:40:00,0,False
36,Empleado_36,Centro,2024-10-12,2024-09-20 07:23:00,2024-09-20 15:11:00,0,True
70,Empleado_70,Oeste,2024-02-15,2024-12-25 09:51:00,2024-12-25 17:07:00,0,False
22,Empleado_22,Sur,2024-05-25,2024-05-28 09:57:00,2024-05-28 18:49:00,0,False
63,Empleado_63,Centro,2024-12-09,2024-11-19 07:36:00,2024-11-19 16:17:00,0,True
9,Empleado_9,Centro,2024-12-22,2024-06-05 08:50:00,2024-06-05 19:00:00,0,False
39,Empleado_39,Norte,2024-07-18,2024-01-01 07:29:00,2024-01-01 14:47:00,0,True
99,Empleado_99,Este,2024-10-26,2024-12-18 07:44:00,2024-12-18 16:36:00,0,False
95,Empleado_95,Norte,2024-08-09,2024-10-13 08:42:00,2024-10-13 17:08:00,0,False
87,Empleado_87,Centro,2024-11-18,2024-10-10 08:15:00,2024-10-10 17:42:00,0,False
23,Empleado_23,Sur,2024-02-20,2024-06-12 08:10:00,2024-06-12 17:23:00,0,False
31,Empleado_31,Norte,2024-05-07,2024-04-05 09:54:00,2024-04-05 19:38:00,0,False
18,Empleado_18,Este,2024-10-13,2024-09-01 07:04:00,2024-09-01 17:09:00,0,False
37,Empleado_37,Este,2024-07-23,2024-02-16 08:08:00,2024-02-16 17:48:00,0,False
72,Empleado_72,Centro,2024-01-11,2024-05-01 08:42:00,2024-05-01 18:08:00,0,False
89,Empleado_89,Sur,2024-03-15,2024-01-05 08:37:00,2024-01-05 17:04:00,0,False
17,Empleado_17,Centro,2024-05-18,2024-07-22 09:09:00,2024-07-22 18:13:00,0,True
31,Empleado_31,Oeste,2024-12-11,2024-06-28 08:55:00,2024-06-28 18:26:00,0,True
35,Empleado_35,Oeste,2024-04-07,2024-05-22 09:05:00,2024-05-22 19:19:00,2,False
58,Empleado_58,Este,2024-02-09,2024-05-06 08:32:00,2024-05-06 15:50:00,0,True
49,Empleado_49,Oeste,2024-06-10,2024-09-10 09:45:00,2024-09-10 18:52:00,0,True
22,Empleado_22,Sur,2024-06-18,2024-02-24 08:09:00,2024-02-24 15:21:00,0,False
7,Empleado_7,Este,2024-10-21,2024-07-10 07:14:00,2024-07-10 16:55:00,0,True
34,Empleado_34,Oeste,2024-08-15,2024-08-15 08:50:00,2024-08-15 17:35:00,0,False
72,Empleado_72,Norte,2024-08-04,2024-06-23 07:26:00,2024-06-23 16:18:00,0,True
29,Empleado_29,Norte,2024-02-26,2024-05-26 08:03:00,2024-05-26 15:20:00,0,False
17,Empleado_17,Este,2024-12-27,2024-09-23 08:04:00,2024-09-23 15:27:00,0,True
59,Empleado_59,Centro,2024-02-15,2024-02-28 08:26:00,2024-02-28 15:53:00,0,True
96,Empleado_96,Oeste,2024-09-06,2024-02-08 09:23:00,2024-02-08 17:44:00,0,True
79,Empleado_79,Norte,2024-12-13,2024-08-14 07:57:00,2024-08-14 16:06:00,0,True
50,Empleado_50,Sur,2024-05-06,2024-03-10 08:38:00,2024-03-10 17:54:00,0,True
65,Empleado_65,Centro,2024-05-19,2024-12-24 07:51:00,2024-12-24 15:16:00,0,False
91,Empleado_91,Sur,2024-10-18,2024-06-13 07:52:00,2024-06-13 18:18:00,0,True
55,Empleado_55,Este,2024-04-05,2024-11-24 09:11:00,2024-11-24 20:09:00,2,False
94,Empleado_94,Este,2024-12-28,2024-08-07 09:23:00,2024-08-07 19:13:00,0,False
47,Empleado_47,Sur,2024-05-18,2024-12-14 09:33:00,2024-12-14 19:43:00,2,True
39,Empleado_39,Oeste,2024-12-08,2024-03-28 07:53:00,2024-03-28 18:22:00,0,True
72,Empleado_72,Sur,2024-06-09,2024-12-15 07:34:00,2024-12-15 15:00:00,0,False
69,Empleado_69,Oeste,2024-05-17,2024-09-08 07:46:00,2024-09-08 16:34:00,0,True
48,Empleado_48,Oeste,2024-10-22,2024-06-17 09:09:00,2024-06-17 18:03:00,0,False
21,Empleado_21,Norte,2024-05-09,2024-09-21 09:20:00,2024-09-21 18:23:00,0,False
75,Empleado_75,Norte,2024-05-03,2024-12-24 09:55:00,2024-12-24 19:56:00,0,False
99,Empleado_99,Norte,2024-04-01,2024-04-10 07:54:00,2024-04-10 15:12:00,0,True
39,Empleado_39,Sur,2024-03-22,2024-04-22 08:05:00,2024-04-22 18:52:00,0,True
91,Empleado_91,Oeste,2024-12-24,2024-08-02 08:40:00,2024-08-02 16:36:00,0,False
93,Empleado_93,Sur,2024-09-09,2024-10-14 07:04:00,2024-10-14 16:57:00,0,True
13,Empleado_13,Sur,2024-06-11,2024-05-28 07:19:00,2024-05-28 14:30:00,0,False
98,Empleado_98,Este,2024-03-21,2024-06-28 08:37:00,2024-06-28 17:55:00,0,True
29,Empleado_29,Oeste,2024-01-28,2024-03-24 09:37:00,2024-03-24 19:58:00,2,False
95,Empleado_95,Sur,2024-04-18,2024-02-21 08:46:00,2024-02-21 17:31:00,0,True
56,Empleado_56,Norte,2024-05-12,2024-09-28 08:55:00,2024-09-28 17:41:00,0,True
30,Empleado_30,Este,2024-01-28,2024-05-24 09:37:00,2024-05-24 19:11:00,1,False
57,Empleado_57,Oeste,2024-05-16,2024-05-06 08:49:00,2024-05-06 15:57:00,0,False
19,Empleado_19,Este,2024-05-01,2024-10-18 09:16:00,2024-10-18 19:09:00,1,False
36,Empleado_36,Oeste,2024-11-24,2024-07-13 08:33:00,2024-07-13 18:03:00,0,True
65,Empleado_65,Oeste,2024-12-23,2024-03-16 09:33:00,2024-03-16 20:02:00,2,True
75,Empleado_75,Centro,2024-03-27,2024-10-15 09:56:00,2024-10-15 20:30:00,2,True
99,Empleado_99,Este,2024-04-04,2024-01-24 09:27:00,2024-01-24 18:37:00,0,True
29,Empleado_29,Norte,2024-12-09,2024-08-07 09:32:00,2024-08-07 17:53:00,0,True
21,Empleado_21,Oeste,2024-09-20,2024-07-06 09:30:00,2024-07-06 20:17:00,0,True
30,Empleado_30,Oeste,2024-04-20,2024-09-19 07:47:00,2024-09-19 15:44:00,0,False
90,Empleado_90,Sur,2024-05-13,2024-02-09 08:10:00,2024-02-09 16:10:00,0,False
72,Empleado_72,Sur,2024-11-08,2024-10-15 07:04:00,2024-10-15 17:58:00,0,True
40,Empleado_40,Centro,2024-10-28,2024-07-12 09:18:00,2024-07-12 16:35:00,0,False
36,Empleado_36,Oeste,2024-11-24,2024-11-13 07:43:00,2024-11-13 16:30:00,0,True
84,Empleado_84,Centro,2024-04-25,2024-03-24 08:59:00,2024-03-24 17:30:00,0,False
63,Empleado_63,Sur,2024-10-12,2024-05-15 08:40:00,2024-05-15 18:19:00,0,True
46,Empleado_46,Este,2024-01-21,2024-11-26 08:23:00,2024-11-26 17:57:00,0,False
59,Empleado_59,Centro,2024-10-14,2024-02-18 08:58:00,2024-02-18 17:59:00,0,True
26,Empleado_26,Norte,2024-12-06,2024-11-14 07:11:00,2024-11-14 15:23:00,0,False
16,Empleado_16,Este,2024-06-11,2024-11-13 07:52:00,2024-11-13 18:07:00,0,False
41,Empleado_41,Centro,2024-01-11,2024-01-05 07:17:00,2024-01-05 16:24:00,0,False
81,Empleado_81,Oeste,2024-05-10,2024-02-15 08:13:00,2024-02-15 19:04:00,1,True
69,Empleado_69,Sur,2024-10-13,2024-04-09 08:32:00,2024-04-09 17:35:00,0,True
77,Empleado_77,Este,2024-09-10,2024-02-13 07:03:00,2024-02-13 17:20:00,0,True
73,Empleado_73,Oeste,2024-01-21,2024-11-20 09:04:00,2024-11-20 18:07:00,0,False
85,Empleado_85,Centro,2024-06-20,2024-09-21 07:52:00,2024-09-21 15:48:00,0,True
74,Empleado_74,Sur,2024-04-12,2024-10-07 09:22:00,2024-10-07 19:18:00,2,True
50,Empleado_50,Centro,2024-10-23,2024-03-16 08:51:00,2024-03-16 17:21:00,0,False
71,Empleado_71,Centro,2024-04-09,2024-02-25 07:44:00,2024-02-25 17:06:00,0,True
97,Empleado_97,Norte,2024-01-24,2024-07-22 09:35:00,2024-07-22 17:08:00,0,False
13,Empleado_13,Sur,2024-09-08,2024-09-25 09:17:00,2024-09-25 18:40:00,0,False
60,Empleado_60,Este,2024-09-06,2024-03-18 08:29:00,2024-03-18 15:59:00,0,True
71,Empleado_71,Norte,2024-03-27,2024-08-22 07:00:00,2024-08-22 15:07:00,0,True
59,Empleado_59,Sur,2024-05-15,2024-02-05 07:14:00,2024-02-05 17:19:00,0,True
100,Empleado_100,Oeste,2024-11-22,2024-01-20 08:22:00,2024-01-20 17:45:00,0,False
37,Empleado_37,Centro,2024-06-28,2024-07-26 08:20:00,2024-07-26 16:49:00,0,False
8,Empleado_8,Este,2024-09-23,2024-12-19 07:30:00,2024-12-19 16:32:00,0,True
41,Empleado_41,Norte,2024-10-04,2024-07-12 07:14:00,2024-07-12 15:44:00,0,True
27,Empleado_27,Este,2024-05-16,2024-04-15 09:38:00,2024-04-15 16:46:00,0,False
2,Empleado_2,Sur,2024-08-14,2024-06-18 08:18:00,2024-06-18 18:02:00,0,False
8,Empleado_8,Este,2024-09-25,2024-01-14 08:54:00,2024-01-14 19:29:00,1,True
94,Empleado_94,Oeste,2024-01-05,2024-07-09 09:38:00,2024-07-09 19:48:00,1,True
24,Empleado_24,Sur,2024-09-10,2024-02-14 07:09:00,2024-02-14 16:15:00,0,True
4,Empleado_4,Oeste,2024-02-07,2024-03-07 07:18:00,2024-03-07 17:19:00,0,True
30,Empleado_30,Sur,2024-12-13,2024-02-10 07:32:00,2024-02-10 15:37:00,0,True
90,Empleado_90,Norte,2024-12-28,2024-10-19 08:36:00,2024-10-19 17:23:00,0,True
40,Empleado_40,Norte,2024-01-12,2024-03-02 09:55:00,2024-03-02 20:22:00,2,True
93,Empleado_93,Oeste,2024-06-12,2024-07-16 07:39:00,2024-07-16 16:09:00,0,True
92,Empleado_92,Norte,2024-02-20,2024-01-27 08:09:00,2024-01-27 15:36:00,0,True
40,Empleado_40,Sur,2024-10-19,2024-10-28 09:43:00,2024-10-28 18:46:00,0,True
85,Empleado_85,Centro,2024-04-05,2024-10-01 07:49:00,2024-10-01 16:24:00,0,False
